Reporter Identifier	VALUE	S_N_P/4a-1_OKhymenets_220905
101949	2115.72	8.93
101955	435.85	1.17
101958	22885.58	26
101962	10286.27	29.08
101965	3472.19	5.96
101973	55911.67	82.07
101974	89789.33	92.95
101979	6381.21	31.1
101980	10694.41	28.68
101985	20497.81	48.04
101987	7881.76	27.3
101998	349.94	-0.29
102001	103404.24	70.63
102004	452.8	-0.3
102010	264.76	-0.6
102013	2151.19	3.5
102034	382.18	1.9
102036	2378.84	3.46
102037	180991.92	47.83
102040	1828.72	8.95
102046	18804.74	65.15
102047	15834.48	56.7
102049	198.45	-0.55
102051	858.89	3.16
102059	4747.51	21.05
102060	40600.06	84.27
102063	3871.41	15.19
102071	2575.15	11.05
102077	475.64	3.06
102081	444.62	2.17
102085	502.6	1.02
102086	10880.18	35.27
102088	235.14	-0.16
102090	389.86	-0.18
102092	5922.3	20.89
102096	304.96	-1.72
102108	500.49	3.26
102116	1991.96	9.76
102117	14659.42	54
102125	44039.1	70.23
102126	333.29	0.91
102133	10350.12	24.38
102135	445.3	-1.16
102137	162.6	-0.54
102138	17976.95	44.04
102140	337.44	1.14
102148	732.88	2.29
102152	334.1	-0.24
102161	5428.59	16.12
102162	1648.95	6.39
102164	5252.59	16.85
102168	815.11	2.48
102174	1319.51	4.41
102175	14771.73	37.85
102177	1161.9	3.9
102183	3827.42	16.17
102204	350.88	-0.03
102205	961.09	5.18
102207	19129.46	63.24
102210	10953.7	51.55
102211	5098.96	15.41
102213	569.52	-1.74
102218	42968.67	96.29
102222	303.41	1.03
102225	207.3	1.32
102229	11830.72	12.82
102231	361.66	0.24
102233	213727.42	79.99
102234	1047.53	2.35
102236	10493.31	48.6
102241	413.08	0.01
102244	10670.93	37.46
102249	611.79	2.22
102255	376.06	-1.42
102257	70674.13	79.51
102263	381.89	0.53
102267	20497.54	42.08
102274	2123.76	9.31
102277	658.55	4.26
102279	697.19	2.42
102286	260.86	1.3
102295	376.99	-1.2
102302	5156.42	16.46
102305	119.33	-2.67
102314	2777.61	14.43
102323	267.58	0.56
102330	860.09	3.66
102334	5269.75	24.63
102335	9577.45	24.79
102337	4438.13	16.68
102338	61100.31	73.89
102341	409.55	0.23
102342	16922.44	54.16
102344	7673.47	33.23
102347	260.01	0.53
102348	1349.65	7.06
102353	239.44	0.55
102355	32934.05	73.63
102384	1594.94	14.08
102387	3886.82	11.49
102388	18152.29	43.34
102393	766.73	3.78
102396	33672.03	51.47
102397	378308.42	76.81
102403	1543.24	12.1
102415	43530.07	66.8
102419	12635.6	38
102421	375.1	1.39
102431	187.89	-2.01
102437	50924.77	81.31
102438	20763.56	69.28
102441	255.95	-0.23
102445	3188.47	11.29
102450	361.23	1.16
102451	1508.21	4.53
102454	10862.63	40.59
102459	412.21	2.45
102465	59290.41	51.18
102474	329.81	1.43
102477	430.37	-0.47
102482	5578.68	35.34
