Probe_ID	Gene_ID	Signal_P/2a-3_OKhymenets_220905	SDEV_P/2a-3_OKhymenets_220905	CV_P/2a-3_OKhymenets_220905	S_N_P/2a-3_OKhymenets_220905	Flags_P/2a-3_OKhymenets_220905	Assay_Normalized_Signal_P/2a-3_OKhymenets_220905	Row_P/2a-3_OKhymenets_220905	Column_P/2a-3_OKhymenets_220905	X_P/2a-3_OKhymenets_220905	Y_P/2a-3_OKhymenets_220905	CL_Sig_P/2a-3_OKhymenets_220905	CL_Sig_Error_P/2a-3_OKhymenets_220905	CL_Raw_P/2a-3_OKhymenets_220905	CL_Raw_SDEV_P/2a-3_OKhymenets_220905	Image_Area_P/2a-3_OKhymenets_220905
145879	hCG20688.5	572.01	209.62	0.37	2.73	0	0.36	89	152	1804.47	1329.03	330.86	201.25	8881.47	0	1
145883	hCG1818089.1	704.58	365.2	0.52	1.93	0	0.44	92	53	752.01	1366.1	497.3	257.28	11585.66	0	1
145891	hCG20798.2	1188.8	228.52	0.2	5.2	0	0.74	119	34	551.74	1654.04	699.99	249.49	11426.76	0	1
145893	hCG40331.3	3741.33	201.24	0.07	18.59	0	2.34	112	21	413.03	1580.1	4094.11	230.3	13803.03	0	1
145910	hCG1998496	133.74	127.03	0.95	1.05	0	0.08	81	66	890.71	1248.04	-64.97	235.29	10046.05	0	1
145914	hCG38343.3	1862.68	430.1	0.23	4.33	0	1.17	119	98	1232.53	1650.64	1211.33	261.38	12458.35	0	1
145917	hCG1647941.3	24416.74	477.4	0.05	51.14	0	15.29	78	50	719.85	1217.43	20756.81	271.73	31748.27	0	1
145918	hCG2016952	1653.62	302.44	0.19	5.47	0	1.14	183	90	1146.03	1057.54	1657.68	179.15	11729.66	0	2
145919	hCG1640914.2	772.18	768.83	1	1	0	0.53	156	8	275.26	774.05	482.82	212.93	12760	0	2
145920	hCG1781727.1	1216537.62	44557.71	0.05	27.3	0	836.42	153	7	264.76	742.21	1297991.7	2320.04	1433453.05	0	2
145923	hCG39310.1	1023.76	315.51	0.31	3.24	0	0.64	92	39	602.38	1365.69	805.2	237.56	10985.64	0	1
145935	hCG15269.2	3632.5	206	0.07	17.63	0	2.5	166	87	1114.82	876.21	3693.82	192.87	14487.39	0	2
