Probe_ID	Gene_ID	Signal_P/2a-2_OKhymenets_220905	SDEV_P/2a-2_OKhymenets_220905	CV_P/2a-2_OKhymenets_220905	S_N_P/2a-2_OKhymenets_220905	Flags_P/2a-2_OKhymenets_220905	Assay_Normalized_Signal_P/2a-2_OKhymenets_220905	Row_P/2a-2_OKhymenets_220905	Column_P/2a-2_OKhymenets_220905	X_P/2a-2_OKhymenets_220905	Y_P/2a-2_OKhymenets_220905	CL_Sig_P/2a-2_OKhymenets_220905	CL_Sig_Error_P/2a-2_OKhymenets_220905	CL_Raw_P/2a-2_OKhymenets_220905	CL_Raw_SDEV_P/2a-2_OKhymenets_220905	Image_Area_P/2a-2_OKhymenets_220905
138799	hCG1811366.1	74740.84	904.04	0.06	82.67	0	134.69	131	90	1144.94	497.78	83127.32	277.5	90733.55	0	2
138803	hCG39628.3	39807.29	769.93	0.06	51.7	0	71.74	173	33	537.77	942.73	32925.78	200.36	38867.7	0	2
138808	hCG25266.3	1842.49	124.16	0.08	14.84	0	2.8	71	61	839.79	1132.83	2142.91	120.19	8022.92	0	1
138809	hCG1641715.4	935.05	152.32	0.17	6.14	0	1.69	133	58	804.94	514.64	963.94	159.05	6774.08	0	2
138815	hCG1652948.3	651.97	651.97	2.04	-0.49	1	1.17	189	43	645.79	1113.56	-503.58	194.11	6757.24	0	2
138818	hCG2042785	229.77	179.49	0.78	1.28	0	0.35	53	68	915.49	938.56	170.23	115.18	5964.56	0	1
138830	hCG1786240.1	4838.81	143.48	0.06	33.72	0	7.35	77	74	979.54	1196.22	4347.86	117.45	9807.02	0	1
138834	hCG1640692.3	459205.49	6729.23	0.05	68.24	0	697.78	28	56	785.5	675.11	546151.73	615.68	567342.57	0	1
138839	hCG16500.2	81590.68	1500.22	0.05	54.39	0	123.98	75	49	712.84	1174.07	70040.98	218.29	76848.47	0	1
138842	hCG1655953.4	344.1	234.2	0.68	1.47	0	0.52	91	83	1069.83	1344.56	412.2	150.44	8270.9	0	1
138847	hCG2002471.1	185.94	185.94	1.66	0.6	1	0.28	27	51	732.01	664.78	162.29	114.57	5922.37	0	1
138851	hCG25144.3	11408.15	454.25	0.06	25.11	0	17.34	53	117	1434.68	940.62	12599.43	158.27	19881.15	0	1
138852	hCG24383.2	396.29	165.76	0.42	2.39	0	0.6	85	7	261.89	1281.51	444.45	95.82	5049.13	0	1
138864	hCG2036626.1	134.54	134.54	4.08	-0.25	1	0.2	52	24	445.39	929.64	-91.49	112.02	5535.68	0	1
138869	hCG1642398.3	1191.91	309.01	0.26	3.86	0	1.81	112	36	577.43	1567.68	1039.04	124.22	7280.62	0	1
138870	hCG40697.2	195.66	195.66	3.19	-0.31	1	0.3	15	73	966.03	536.73	-31.72	118.29	5967.12	0	1
138873	hCG1787015.2	2851.59	205.85	0.09	13.85	0	5.14	165	51	728.4	856.05	2870.9	147.66	8107.77	0	2
138875	hCG1811684.1	121.55	121.55	1.54	0.65	1	0.18	86	101	1261.58	1290.83	186.94	112.32	5811.69	0	1
138876	hCG39570.3	49697.2	845.55	0.05	58.77	0	75.52	78	23	438.23	1206.56	50115.89	185.76	55829.82	0	1
138880	hCG401155.3	3158.71	336.39	0.12	9.39	0	4.8	48	45	665.77	884.14	4251.38	138.25	11027.13	0	1
138886	hCG2037012	190.54	190.54	3.15	0.32	1	0.29	87	128	1550.44	1301.01	45.36	127.62	6592.09	0	1
138890	hCG15178.2	225.78	225.78	5.26	0.19	1	0.41	183	6	255.9	1049.72	20.2	140.82	5151.6	0	2
138895	hCG21171.2	195.5	81.61	0.42	2.4	0	0.3	42	63	861.19	821.69	293.11	110.48	5795.52	0	1
138904	hCG40399.2	12714.41	404.33	0.07	31.45	0	22.91	227	99	1243.33	1517	13104.94	180.91	19187.01	0	2
138910	hCG1801799.1	227.22	206.09	0.91	1.1	0	0.41	141	53	752.2	603.29	261.99	168.07	6471.45	0	2
138911	hCG42511.3	285.33	285.33	1.76	-0.57	1	0.51	212	38	592.78	1356.12	-292.79	170.52	6027.8	0	2
138914	hCG16958.2	11150.11	1986.57	0.18	5.61	0	16.94	102	103	1288.48	1462.15	16438.71	257.79	29778.73	0	1
138921	hCG38619.2	654996.87	9659.96	0.06	67.81	0	1180.39	173	143	1709.46	941.94	661378.98	662.26	676456.37	0	2
138923	hCG23785.3	1673.35	124.47	0.09	13.44	0	3.02	189	23	432.57	1113.93	1368.05	150.06	6792.14	0	2
138927	hCG1820600.1	234.51	166.63	0.71	1.41	0	0.36	83	121	1476.24	1258.71	366.37	138.37	7516.74	0	1
138929	hCG15822.2	11127.75	202.31	0.06	55	0	20.05	228	143	1711.53	1528.3	12891.89	166.82	18360.5	0	2
138939	hCG37615.3	763.08	763.08	5.82	0.17	1	1.16	89	144	1720.57	1323.67	293.21	175.4	9627.45	0	1
138947	hCG1639840.3	20630.78	316	0.05	65.29	0	31.35	63	121	1477.87	1047.05	28663.56	179.47	35992.65	0	1
138948	hCG2041924	161.68	161.68	1.34	-0.75	1	0.25	63	70	935.87	1047.47	-223.61	125.06	6176.92	0	1
138955	hCG2022564	139.73	139.73	4.69	0.21	1	0.21	13	123	1496.97	512.74	62.84	103.43	5171.87	0	1
138956	hCG1644112.3	223.51	223.51	8.21	-0.12	1	0.4	209	86	1102.48	1324.75	5.13	163.45	6043.21	0	2
138962	hCG39604.2	24868.28	368.66	0.06	67.46	0	44.82	122	39	602.73	398.34	46744	233.02	53631.25	0	2
138964	hCG20034.3	142406.14	1449.57	0.05	98.24	0	216.39	42	138	1655.17	821.8	194762.06	338.29	204054.13	0	1
138968	hCG2040800	431.55	341.9	0.79	1.26	0	0.78	215	3	222.93	1387.78	257.13	139.98	5339.75	0	2
138971	hCG2036531	385.19	188.94	0.49	2.04	0	0.69	213	153	1815.8	1367.38	311.62	142.35	5486.81	0	2
138995	hCG2005199	104759.19	1312.89	0.05	79.79	0	159.19	56	108	1338.33	972.6	100364.29	256.24	108199.9	0	1
138998	hCG1648782.2	191.64	157.52	0.82	1.22	0	0.29	4	127	1537.94	419.07	208.41	104.15	5342.47	0	1
139001	hCG19900.3	5890.84	179.06	0.06	32.9	0	10.62	228	131	1582.04	1527.23	5309.18	153.06	10624.57	0	2
139004	hCG1782975.2	122611.27	1262.19	0.06	97.14	0	220.96	168	84	1080.85	888.35	172019.95	363.11	181104.73	0	2
139007	hCG21292.3	4634.21	317.6	0.08	14.59	0	7.04	118	31	523.63	1631.56	3662.99	124.68	9654.08	0	1
139008	hCG1774990.2	17788.84	520.03	0.06	34.21	0	32.06	208	45	668.12	1313.73	27590.11	226.6	35029.36	0	2
139011	hCG19185.3	346	144.16	0.42	2.4	0	0.53	82	106	1315.27	1247.78	260.64	131.04	6987.56	0	1
