Reporter Identifier	VALUE	S_N_P/2a-3_OKhymenets_220905
103612	3190.29	9.58
103613	936.14	2.26
103617	10340.26	45.89
103618	787.44	3.15
103624	670994.11	80.66
103625	96109.02	83.48
103626	388.5	1.09
103627	221.31	0.94
103640	257.11	-0.45
103641	53344.69	88.49
103642	3414.21	12.82
103644	1076.78	3.7
103651	1625.29	4.64
103654	317.53	-1.42
103659	256.75	-2.93
103665	2837.96	14.1
103666	2568.79	10.36
103677	446.13	0.64
103678	3600.61	29.27
103682	70857.94	52.9
103690	9721.11	25.23
103693	10095.05	9.54
103694	67752.36	87.26
103696	306.61	0.33
10370245	256.42	0.31
103703	340.9	3.25
103705	9598.21	73.78
103717	14350.66	54.78
103718	2117.56	6.18
103719	5756.1	33.9
103720	6176.39	18.63
103726	766312.61	54.65
103729	196.77	-0.16
103744	325	-2.1
103746	3583.23	16.13
103752	225.29	-2.8
103754	16374.83	63.52
10375855	3074.58	14.08
103764	468.66	0.29
103769	1772.86	7.17
103775	329.39	0.29
103778	950.14	4.78
103779	323.61	1.56
103786	406.82	1.28
103792	303.97	-0.66
103793	5345.88	20.75
103795	4431.48	4.26
103802	274.07	-1.37
103805	4150.72	8.44
103806	884.76	5.47
103809	1327.07	3.23
103810	69432.04	111.27
103813	813.95	4.77
103822	3518.03	-0.07
103824	2556.98	3.82
103829	670.95	-0.38
103831	1820.24	10.03
103843	10607	15.47
10384403	570.12	0.92
103846	3743	8.83
103851	11460.69	23.97
103866	356.25	2.05
103867	15915.31	26.52
103870	1975.01	4.93
103875	3467.3	14.36
103876	299.48	0.54
103877	403.18	0.19
103883	3266.68	12.9
103885	345.58	0.8
103888	416.86	-0.17
103892	2083.31	8.25
103896	1713.17	3.17
103907	3398.07	14.91
103910	33239.09	68.22
10391124	927.3	2.8
103913	232.86	0.58
103918	319.99	-0.06
103919	6817.59	20.94
103920	399.31	2
103921	235.31	-2.47
103928	47894.66	76.11
103931	30418.8	44
103944	3540.82	9.57
103950	6799.54	19.24
103958	238.25	0.79
103964	447.05	1.53
103970	4492.19	21.81
103975	457.46	1.52
103976	2364.54	10.77
103999	130607.51	74.49
10400392	14046.83	40.3
104009	3646.44	29.77
104013	726.3	1.35
104031	386.76	0.67
104032	550.6	-0.44
104033	515.52	0.26
104036	976.9	3.08
104040	433.89	1.35
104054	78358.18	69.91
104057	22624.28	63.41
104059	25526.38	61.01
104062	1872.68	7.37
104079	3986.9	5.18
104080	251.82	-0.4
104081	954.02	4.22
10409147	1642.42	0.26
104096	22487.23	52.7
104099	314.6	0.17
104102	584.23	2.55
10410414	571.14	1.12
104105	198.88	-0.19
104108	438.58	1.26
10411442	230.77	-0.5
104115	44693.49	99.01
104116	2681.55	10.93
104119	462.08	-1.13
104123	413.18	1.17
104128	782.81	3.35
104131	93952.17	129.35
104139	8324.52	34.26
104140	67098.57	98.66
104142	4402.34	12.97
104153	594.04	2.94
104157	11136.73	15.79
104158	834.31	2.18
104166	7727.82	31.56
104172	2337.26	6.16
104186	1444.7	4.16
104189	4997.48	24.81
10419000	40783.57	93.08
104193	190928.32	73.65
104196	738371.12	100.98
104200	14525.89	50.33
104202	372.38	-1.72
104207	1194.08	2.7
104213	23919.2	81.23
104215	164.74	-1.01
104218	142.25	0.62
104220	17957.11	34.97
104225	23995.89	58.36
10423512	2176.13	5.73
104237	10131.88	45.78
104240	1703.66	3.02
104245	42239.85	41.55
104251	127.59	-3.07
104254	15424.92	18.63
104259	9351.47	20.75
104260	59257.24	72.54
104268	479.82	-1.01
10426832	785.52	1.8
104271	510.38	0.48
104273	608.89	5.37
104275	4126.64	12.55
104276	37953.62	45.37
104280	19081.69	42.97
10428338	2113.35	8.92
104287	2128.57	5.89
104292	6738.81	59.49
104293	11371.43	37.92
104294	312.82	0.61
104309	21491.26	47.55
104310	1046.99	2.21
104322	1192.79	5.08
104328	862.19	-0.13
104331	2701.6	13.91
104341	965923.9	98.43
104346	5846.92	16.53
104347	241.47	0.01
10434918	166.29	0.45
104350	15812.47	44.42
104351	1134.14	8.63
104353	422.2	-0.76
104356	17546.8	2.8
104360	19780.12	49.98
104371	437.27	-0.76
104372	16176.47	57.65
104377	28672.25	62.38
104379	220.08	-2.97
104384	122512.58	79.58
104387	3804.64	16.84
104400	65756.84	92.81
104402	27438.91	75.13
104407	279.42	1.96
104408	1375.12	3.35
104409	320144.01	111.1
10441133	499.75	-0.18
10442161	502.46	0.1
104424	592.59	-2.11
104427	41962.11	145.13
104428	2843.04	12.12
104431	9489.74	35.32
104447	693.35	0.8
104450	397.98	1.79
104454	1172.83	-0.25
104456	1120382.71	69.02
104458	8931.62	17.61
104460	278.29	0.79
104469	2919.75	13.33
104475	717.96	-0.07
104477	4044.78	13.03
104481	232.16	-1.15
104483	81339.68	104.2
104484	623.14	1.14
104490	24298.72	44.24
104499	915.65	0.42
104504	418151.14	104.19
10450649	2891.7	1.62
104510	816.63	3.42
104511	2198.46	9.26
104523	382.73	1.06
104525	1247.87	4.61
10452548	5159.2	8.46
104528	272.23	-1.06
104531	296.57	1.9
104533	2182.31	3.34
104539	2442.13	19.59
104547	8174.49	15.77
104549	521.59	0.39
10455177	129.58	0.95
104557	3290.86	13.62
104562	45250.61	67.91
104564	125342.47	59.73
104566	9429.71	51.3
104569	36793.9	63.88
104572	521.48	1.2
104576	245.81	-1.78
104577	461.54	1.36
104585	1646.1	-0.91
104588	2684.51	8.82
104590	363.97	-0.35
104594	1351347.86	74.93
10459528	1083.02	4.01
10460534	297.08	0.92
104610	1892.38	16.69
10461026	3599.49	8.77
104615	4081.23	14.2
104619	41407.67	78.54
104621	6711.67	8.51
104625	1310800.55	70.36
104627	11204.22	42.15
104634	884.7	-0.47
104638	15620.29	55.29
104641	1494.56	-1.1
104642	345.54	1.91
104648	390.23	2.87
104651	1250.27	4.42
104667	3953.63	7.84
104683	80999.09	114.06
104690	10880.51	69.12
104697	7466.52	3.3
104701	371.01	-0.27
104706	280.85	1.38
104707	442.14	0.91
104708	402.86	-1.72
104709	325.9	-0.64
104711	1278.28	1.8
10471331	2998.23	14.53
104716	3220.74	7.9
104718	6026.37	17.98
104721	465.61	1.35
104723	3904.88	9.71
104728	2712.28	12.99
104731	122432	119.37
104739	4570.54	24.75
104741	24389.01	22.79
104742	10854.55	18.93
104743	16848.83	32.52
104745	3914.19	20.61
104748	7519.91	7.99
104750	13735.95	29.18
104760	1671.44	4.96
104762	2961.24	8.93
104763	1035.12	5.56
104764	4654.84	10.67
104767	309.74	1.23
104770	18696.46	56.41
104771	9247.78	16.46
